"topic","year","state","raw_text","text"
"Topic 4",2019,"United States","Join @NRCrecycles and national and international experts for the National #ZeroWaste #Conference in #Berkeley, March 18-19, 2020! 🌎🙌⭐Early Registration Deadline is today, Dec. 18!⭐ 👉 Registration &amp; details: https://t.co/LTGDBI6v4g https://t.co/r30dvSHOFM","join @nrcrecycle national international expert national #zerowaste #conference march early registration deadline today dec registration detail"
"Topic 4",2018,"United States","Do you want to learn how to repair your electrical cords? Come see a Repair Coach at the Repair Café September 29 from 12-3 at the Saratoga Springs Public Library. https://t.co/MDAQfhN8sf #ZeroWaste #RepairCafe https://t.co/gX5zqPwlKC","want learn repair electrical cord come see repair coach repair caf september saratoga spring public library #zerowaste #repaircafe"
"Topic 5",2019,"United States","Colorful harmony... #color #harmony #beauty #twinz #chopsticks #design #productdesign #reusable #edc #zerowaste #sustainable #natural #nature #health #healthy #lifestyle #art #followme #follow #picoftheday #photooftheday #love #amazing #beautiful #pretty #photo #photography #good https://t.co/ByXE5fGhHV","colorful harmony #color #beauty #twinz #chopstick #design #productdesign #reusable #edc #zerowaste #sustainable #natural #nature #health #healthy #lifestyle #art #followme #follow #picoftheday #photooftheday #love #amaze #beautiful #photo #photography #good"
"Topic 5",2019,"United States","Which color is your favorite? #twinz #chopsticks #design #productdesign #reusable #edc #zerowaste #sustainable #natural #nature #health #healthy #lifestyle #art #instadaily #instagood #followme #follow #picoftheday #photooftheday #love #amazing #beautiful #pretty #photo https://t.co/TWowiqMvvI","color favorite #twinz #chopstick #design #productdesign #reusable #edc #zerowaste #sustainable #natural #nature #health #healthy #lifestyle #art #followme #follow #picoftheday #photooftheday #love #amaze #beautiful #photo"
"Topic 5",2018,"United States","The beautiful symmetry of TWINZ... #twinz #chopsticks #design #productdesign #reusable #edc #zerowaste #sustainable #natural #nature #health #healthy #lifestyle #art #instadaily #instagood #followme #follow #picoftheday #photooftheday #love #amazing #beautiful #pretty #photo https://t.co/UEMgffVpRY","beautiful twinz #twinz #chopstick #design #productdesign #reusable #edc #zerowaste #sustainable #natural #nature #health #healthy #lifestyle #art #followme #follow #picoftheday #photooftheday #love #amaze #beautiful #photo"
"Topic 6",2019,"United Kingdom","Vegetable ice cream alternative; bake sweet potato, mash the inside with soya butter and/or coconut oil &amp; optional flavour additions like ginger, honey, orange  juice etc. Chill and serve straight from fridge. NOM #veganrecipe #recipe #recipes #eatmoreplants #vegan #zerowaste","vegetable ice cream alternative bake sweet mash inside soya butter coconut oil optional flavour additions ginger honey orange juice chill serve fridge #veganrecipe #recipe #recipe #zerowaste"
"Topic 6",2020,"United Kingdom","https://t.co/IUsAymIVQ8All natural handmade body and hand lotion bars, available in ORANGE, LAVENDER or UNSCENTED.  Packed with skin nourishing ingredients - Shea Butter and Coconut Oil#selfcare #SelfCareSeptember #zerowaste #eczema #dryskin#uk #Cornwall #handmadeskincare https://t.co/6OKXgvx94t","natural handmade body hand lotion bar available orange lavender unscented pack skin nourishing ingredient shea butter coconut oil #selfcare #zerowaste #eczema #cornwall"
"Topic 6",2020,"United Kingdom","Chamomile &amp; Lavender has a rich creamy lather to cleanse #sensitive skin, relieve irritation and soothe your skin. Coconut &amp; Shea to nourish &amp; hydrate, leaving you with soft, silky skin #crueltyfree #zerowaste #plasticfree #atsocialmediauk #bestbuyhttps://t.co/9KvrJxEFS0 https://t.co/Tn6qifGyxj","chamomile lavender have rich creamy lather cleanse skin relieve irritation skin coconut shea nourish hydrate leave soft silky skin #crueltyfree #atsocialmediauk #bestbuy"
"Topic 7",2013,"United States","San Jose builds nation's largest organics anaerobic digester that will will turn food waste into energy. #zerowaste http://t.co/tiYNkKGTr4","san jose build nation largest organic anaerobic digester turn food waste energy #zerowaste"
"Topic 7",2011,"United States","Incinerator Alert! Los Angeles planning new waste-to-energy plant http://ow.ly/5ooHS #ZeroWaste #BanTheBurn #CleanEnergy","incinerator aler los angeles plan new waste energy plant #zerowaste #bantheburn #cleanenergy"
"Topic 7",2018,"United States","Composting efforts struggle to gain traction across New York City #zerowaste #composting #compost #foodwaste #dsny #organicwaste #organicsrecycling #foodscraps #nycorganics  https://t.co/7HZBhmwC0Y","compost effort struggle gain traction new york city #zerowaste #compost #compost #foodwaste #dsny #organicwaste #organicsrecycl #foodscraps #nycorganic"
"Topic 8",2018,"United Kingdom","Starting today! The Sharehouse Market is open on Mondays too! Come shop with us 6 days a week, Monday through to Saturday from 12-2pm.  #sharehousemarket #trjfpsheffield #feedingbelliesnotbins #payasyoufeel #sheffield #sheffieldissuper #zerowaste #foodwa… https://t.co/ty7yHfHzVo https://t.co/b3FonzVxd5","start today sharehouse market open monday come shop day week monday saturday pm #payasyoufeel #sheffield #sheffieldissuper #zerowaste"
"Topic 8",2020,"United Kingdom","Hello everyone and Happy New Year!This is our Menu for today, come and enjoy. Tasty meals cooked every day from surplus. #zerowaste #thefoodworkssheffield #feedbelliesnotbins #zestcentreupperthorpe https://t.co/99Pjp7NITa https://t.co/SAMx5Vf0B3","happy new year menu today come enjoy tasty meal cook day surplus #zerowaste #feedbelliesnotbin #zestcentreupperthorpe"
"Topic 8",2018,"United Kingdom","#MondayMotivation 👋🏻 I opened the first #zerowaste shop in #Dorset 7 weeks ago. 😊 My customers are a wonderful reminder everyday, of why I embarked on this #rollercoaster journey of running a shop #singlehandedly ✌🏻💚🌍 Stand for what YOU believe in... #sustainablelife https://t.co/K6YR4Fss5z","#mondaymotivation open first #zerowaste shop #dorset week customer wonderful reminder day embark journey run shop stand believe #sustainablelife"
"Topic 9",2018,"United Kingdom","Magic in motion..#JCocoa #BeanToBar #ChocolateMaker #Awardwinning #Chocolate #ShopLocal #Delicious #MilkChocolate #Stoneground #Nicaragua #SingleOrigin #CraftChocolate #Brighton #ZeroWaste #Packaging #British #UK #Beautiful #Gifts #Yummy #Food #ChocolateLover #ChocolateHeaven https://t.co/xK7ixy0deT","magic motion #jcocoa #beantobar #chocolatemaker #awardwinn #chocolate #shoplocal #delicious #milkchocolate #stoneground #nicaragua #singleorigin #craftchocolate #brighton #zerowaste #package #british #uk #beautiful #gift #food #chocolatelover #chocolateheaven"
"Topic 9",2019,"United Kingdom","James's diet of choice - rum soaked nibs...#JCocoa #BeanToBar #ChocolateMaker #Awardwinning #Chocolate #ShopLocal #Delicious #SingleOrigin #CraftChocolate #Brighton #ZeroWaste #British #UK #Beautiful #Gifts #Yummy #Food #ChocolateHeaven #BrightonFoodies #BrightonUpYourDay https://t.co/xiFH7vHaMi","jame diet choice rum soak nib #jcocoa #beantobar #chocolatemaker #awardwinning #chocolate #shoplocal #delicious #singleorigin #craftchocolate #zerowaste #british #uk #beautiful #gift #food #chocolateheaven #brightonfoody #brightonupyourday"
"Topic 9",2018,"United Kingdom","Beanz meanz... J.Cocoa...#JCocoa #BeanToBar #ChocolateMaker #Awardwinning #Chocolate #ShopLocal #Delicious #DarkChocolate #MilkChocolate #Stoneground #Nicaragua #SingleOrigin #CraftChocolate #Brighton #ZeroWaste #British #UK #Beautiful #Gifts #Yummy #Food #ChocolateLover https://t.co/wgMF4m2eIX","cocoa #jcocoa #beantobar #chocolatemaker #awardwinn #chocolate #shoplocal #delicious #darkchocolate #milkchocolate #stoneground #nicaragua #singleorigin #craftchocolate #brighton #zerowaste #british #uk #beautiful #gift #food #chocolatelover"
"Topic 10",2018,"United Kingdom","We've loved sharing @Kate_Arnell's top tips for #PlasticFreeJuly 🌏 Check out https://t.co/rRrfyYLnai for more great inspo and advice on a #zerowaste lifestyle ❤️ https://t.co/qU4ZkzDtTh","love share @kate_arnell top tip check more great inspo advice #zerowaste lifestyle"
"Topic 10",2017,"United Kingdom","This is a great vlog from @LeotieLovely, some great tips &amp; ideas in there #zerowaste #ethicalhour https://t.co/00dwEsUGdr","great vlog great tip idea #zerowaste #ethicalhour"
"Topic 10",2016,"United Kingdom","How do you live a #zerowaste lifestyle? We've been checking it out &amp; have some top tips for you! https://t.co/GaAE0e0VUs https://t.co/DTjLI16KEv","live #zerowaste lifestyle check have top tip"
